Age,Gender,NPS,ChurnLabel,PurchaseFrequency,PurchaseValue,SubscriptionPlan,WebsitePageViews,WebsiteTimeSpent,EngagementMetricsLogins,EngagementMetricsFrequency,FeedbackRating,MarketingCommunicationNoOfEmails,MarketingCommunicationOpenClickDiff,MarketingCommunicationSentOpenDiff,ServiceInteractions_Call,ServiceInteractions_Email,ServiceInteractions_Chat,PaymentHistoryNoOfLatePayments,ClickstreamData_Click,ClickstreamData_Add to Cart,ClickstreamData_Search,SubscriptionDuration,FirstInteractionDate,LastInteractionDate,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
31,0,3,1,38,3994.72,0,49,15,19,0,1,8,319.0,818.0,1,1,2,40,4,8,12,871,2019-09-26,2021-07-25,523,722,3994.72,1,4,4,9,At_Risk
66,1,6,0,4,2844.35,1,100,9,9,0,2,9,88.0,110.0,5,10,4,10,9,8,7,290,2019-01-12,2022-12-13,17,36,2844.35,5,1,3,9,At_Risk
36,1,3,0,14,1866.52,2,1,97,19,1,4,8,117.0,333.0,1,1,1,8,3,2,7,319,2019-10-09,2022-01-04,360,266,1866.52,1,3,2,6,At_Risk
62,1,1,1,28,1378.64,3,25,31,4,2,1,10,423.0,159.0,17,18,24,79,16,15,16,803,2019-01-03,2022-11-10,50,112,1378.64,3,2,2,7,At_Risk
68,1,3,0,39,2425.0499999999997,4,77,51,12,0,3,7,96.0,193.0,4,5,1,2,9,17,4,580,2019-04-10,2022-12-19,11,468,2425.0499999999997,5,3,3,11,Loyal
65,1,2,1,10,1303.16,5,40,17,23,2,2,7,9.0,61.0,23,16,15,73,16,16,13,106,2019-01-09,2022-12-26,4,230,1303.16,5,2,2,9,At_Risk
52,1,1,1,32,5860.08,6,23,25,15,0,5,5,284.0,766.0,12,26,19,50,19,13,8,435,2019-02-14,2022-12-27,3,480,5860.08,5,4,5,14,Premium
48,0,1,1,63,4052.4700000000003,7,35,33,6,0,2,8,209.0,729.0,14,6,4,91,1,2,3,237,2019-02-24,2022-10-24,67,378,4052.4700000000003,3,3,4,10,Loyal
66,1,6,0,41,6054.65,8,75,8,26,2,1,5,1.0,24.0,6,3,5,12,14,13,15,524,2019-01-24,2022-07-14,169,1066,6054.65,2,5,5,12,Loyal
67,1,5,0,15,2024.55,9,65,47,22,0,1,3,96.0,22.0,0,0,1,6,11,13,12,1120,2019-11-08,2019-11-08,1148,330,2024.55,1,3,2,6,At_Risk
18,0,0,1,22,2516.3199999999997,0,50,33,4,0,4,5,742.0,110.0,12,8,12,65,1,3,4,498,2019-01-02,2022-11-07,53,88,2516.3199999999997,3,1,3,7,At_Risk
60,0,0,1,2,1698.06,3,94,3,15,1,4,4,336.0,302.0,5,6,7,10,8,16,14,143,2019-06-02,2022-10-24,67,30,1698.06,3,1,2,6,At_Risk
54,0,2,1,25,2393.79,10,67,7,16,0,3,6,80.0,374.0,24,20,11,72,4,4,3,622,2019-01-26,2022-12-02,28,400,2393.79,4,3,3,10,Loyal
45,1,8,0,13,1866.89,11,85,29,9,0,3,2,638.0,164.0,4,7,7,9,6,13,3,445,2019-01-25,2022-10-01,90,117,1866.89,3,2,2,7,At_Risk
29,0,1,1,43,4430.1,11,57,4,9,0,1,9,383.0,30.0,13,12,16,64,6,5,4,421,2019-01-07,2022-09-24,97,387,4430.1,2,3,5,10,Loyal
57,1,6,1,49,3453.9900000000002,5,36,81,23,1,4,6,215.0,943.0,8,3,3,7,13,12,13,882,2019-01-22,2022-12-24,6,1127,3453.9900000000002,5,5,4,14,Premium
18,0,1,0,58,3697.75,7,35,87,28,2,1,5,388.0,80.0,4,2,6,9,2,1,2,407,2019-01-05,2022-12-14,16,1624,3697.75,5,5,4,14,Premium
18,1,2,1,35,4349.68,12,15,11,15,2,1,3,219.0,201.0,12,16,14,70,2,2,0,296,2019-01-22,2022-12-18,12,525,4349.68,5,4,5,14,Premium
29,1,1,1,14,901.76,13,91,31,26,0,2,9,81.0,38.0,20,20,10,80,10,19,10,368,2019-01-13,2022-12-07,23,364,901.76,4,3,1,8,At_Risk
43,1,6,0,39,5416.46,14,70,67,25,0,2,4,398.0,267.0,2,0,2,11,13,9,9,530,2020-10-03,2022-09-27,94,975,5416.46,2,5,5,12,Loyal
67,1,8,0,28,1816.37,4,35,14,17,2,5,6,204.0,463.0,2,3,1,11,2,2,2,41,2019-01-13,2022-10-27,64,476,1816.37,3,4,2,9,At_Risk
66,0,7,0,28,3422.9300000000003,13,49,8,24,1,5,6,0.0,0.0,6,4,3,6,13,19,18,912,2019-01-10,2022-07-11,172,672,3422.9300000000003,2,4,4,10,Loyal
31,0,8,0,29,2572.5299999999997,15,63,21,19,2,1,10,110.0,18.0,5,4,3,10,3,5,4,132,2019-05-01,2022-09-09,112,551,2572.5299999999997,2,4,3,9,At_Risk
48,0,0,1,63,5375.54,16,52,24,30,0,5,10,36.0,259.0,0,2,3,74,1,0,0,165,2019-02-15,2021-02-09,689,1890,5375.54,1,5,5,11,Loyal
18,1,3,0,40,5345.02,5,35,1,18,1,5,6,140.0,143.0,5,3,6,7,2,2,3,584,2019-03-11,2022-10-10,81,720,5345.02,3,4,5,12,Loyal
23,1,2,1,46,4696.3,17,34,11,30,1,5,7,335.0,432.0,10,11,6,60,5,9,3,1038,2019-05-15,2022-10-31,60,1380,4696.3,3,5,5,13,Loyal
30,1,6,0,16,1194.55,7,8,43,7,1,3,1,49.0,551.0,3,3,2,7,11,5,15,190,2019-05-01,2022-01-09,355,112,1194.55,1,2,2,5,Lost
54,0,1,1,18,980.23,6,36,17,3,2,2,4,113.0,152.0,0,3,1,53,2,0,0,1034,2019-12-16,2022-08-07,145,54,980.23,2,1,1,4,Lost
57,0,2,1,36,3671.85,18,76,16,1,2,1,2,230.0,808.0,18,18,17,59,13,21,16,1350,2019-01-27,2022-11-14,46,36,3671.85,3,1,4,8,At_Risk
67,0,2,1,9,760.37,18,52,23,16,0,2,1,0.0,3.0,7,6,5,73,9,8,8,871,2019-01-01,2022-09-06,115,144,760.37,2,2,1,5,Lost
63,0,6,0,70,5188.62,13,6,32,13,2,1,6,534.0,541.0,1,1,1,12,7,6,10,310,2019-03-03,2022-12-13,17,910,5188.62,5,5,5,15,Premium
52,0,4,0,10,473.03,8,22,48,21,1,3,9,124.0,84.0,6,6,5,7,13,20,11,16,2019-03-07,2022-11-03,57,210,473.03,3,2,1,6,At_Risk
70,0,9,0,26,3615.75,15,58,69,18,0,1,5,225.0,53.0,4,2,4,10,4,6,7,1024,2019-06-18,2022-12-06,24,468,3615.75,4,3,4,11,Loyal
41,1,7,0,67,5715.45,8,34,50,26,2,4,4,0.0,238.0,5,5,2,7,0,1,0,91,2019-07-05,2022-09-14,107,1742,5715.45,2,5,5,12,Loyal
54,1,6,0,45,3392.69,8,71,40,27,1,5,10,242.0,10.0,0,0,2,3,5,9,8,270,2020-01-30,2022-08-05,147,1215,3392.69,2,5,4,11,Loyal
67,1,2,1,19,1896.72,5,31,9,15,2,3,7,30.0,686.0,2,1,1,34,11,7,1,113,2019-02-14,2020-11-04,786,285,1896.72,1,3,2,6,At_Risk
19,0,0,1,7,349.12,0,98,35,6,0,4,6,11.0,396.0,4,3,4,71,12,18,16,101,2019-06-18,2022-09-01,120,42,349.12,2,1,1,4,Lost
21,0,9,0,20,1990.09,10,2,30,11,2,5,5,39.0,438.0,4,1,4,7,5,4,3,5,2019-01-05,2022-11-14,46,220,1990.09,3,2,2,7,At_Risk
34,1,0,1,1,480.02,19,57,2,21,0,3,7,14.0,121.0,17,14,21,60,0,1,2,267,2019-01-12,2022-12-27,3,21,480.02,5,1,1,7,At_Risk
69,1,7,0,20,2972.39,11,77,24,25,0,1,10,1002.0,133.0,4,1,2,5,14,12,11,355,2019-03-23,2022-12-05,25,500,2972.39,4,4,3,11,Loyal
24,0,0,1,23,1320.32,8,20,27,1,2,4,9,26.0,98.0,6,8,11,55,4,4,4,88,2019-03-27,2022-11-29,31,23,1320.32,4,1,2,7,At_Risk
43,1,0,0,30,2802.43,7,9,64,12,0,1,8,379.0,189.0,8,2,5,8,5,4,5,498,2019-01-31,2022-12-21,9,360,2802.43,5,3,3,11,Loyal
32,0,1,1,22,1738.69,9,38,18,30,0,2,4,576.0,126.0,5,4,2,49,12,11,22,126,2019-06-20,2022-10-17,74,660,1738.69,3,4,2,9,At_Risk
67,0,2,1,38,2611.8,19,68,10,12,1,3,5,32.0,110.0,10,8,8,57,7,26,11,20,2019-03-21,2022-11-28,32,456,2611.8,4,3,3,10,Loyal
54,1,8,0,12,784.73,13,98,15,25,1,4,6,9.0,1.0,0,1,1,7,2,0,1,38,2019-09-08,2022-10-10,81,300,784.73,3,3,1,7,At_Risk
65,1,9,0,40,5105.95,16,3,83,26,0,1,7,401.0,511.0,6,6,6,10,0,0,1,401,2019-01-06,2022-11-11,49,1040,5105.95,3,5,5,13,Loyal
36,0,3,1,3,944.04,7,91,6,21,2,1,4,109.0,99.0,9,10,8,63,11,15,19,22,2019-03-14,2022-12-30,0,63,944.04,5,1,1,7,At_Risk
63,0,1,1,40,4105.29,6,65,28,26,0,4,8,425.0,32.0,2,2,3,40,2,4,0,256,2019-10-08,2022-06-12,201,1040,4105.29,2,5,4,11,Loyal
